round,train_loss,train_accuracy,global_test_accuracy,time_seconds,epsilon_i,epsilon_total,delta_total,client_0_pers_acc,client_0_global_acc,client_1_pers_acc,client_1_global_acc,client_2_pers_acc,client_2_global_acc,client_3_pers_acc,client_3_global_acc
1,0.25729308134731405,0.6660757890928823,0.5251434357070537,24.695769786834717,0.20937715705259322,2.298723198520603,4.9999999999999996e-06,0.7267605633802817,0.5943661971830986,0.6177536231884058,0.14492753623188406,0.5877437325905293,0.3147632311977716,0.7754830113257828,0.7801465689540307
2,0.15152878905842335,0.8061137740797684,0.5888176397795027,24.449071407318115,0.20937715705259322,3.30801846404244,9e-06,0.8338028169014085,0.8366197183098592,0.7789855072463768,0.30978260869565216,0.7827298050139275,0.6713091922005571,0.8354430379746836,0.7694870086608927
3,0.11999391531997103,0.8542100027132133,0.6227922150973113,24.430021047592163,0.20937715705259322,4.105171031362848,1.3000000000000001e-05,0.8366197183098592,0.8028169014084507,0.8387681159420289,0.32971014492753625,0.8356545961002786,0.5041782729805014,0.8647568287808128,0.8447701532311792
4,0.10431054654582812,0.8792439178800759,0.6784790190122624,24.45787787437439,0.20937715705259322,4.792510457535322,1.7e-05,0.8816901408450705,0.895774647887324,0.8605072463768116,0.41847826086956524,0.8440111420612814,0.7270194986072424,0.8874083944037309,0.854763491005996
5,0.09397596744538307,0.8973139187844803,0.7016537293283834,24.50955605506897,0.20937715705259322,5.409673234967114,2.1e-05,0.9098591549295775,0.9070422535211268,0.875,0.47282608695652173,0.8551532033426184,0.7520891364902507,0.8980679546968687,0.871419053964024
6,0.08580399251833493,0.9103554309487204,0.7248284396445045,24.409517526626587,0.20937715705259322,5.976987370073317,2.5e-05,0.9267605633802817,0.923943661971831,0.8731884057971014,0.5054347826086957,0.8607242339832869,0.7827298050139275,0.9113924050632911,0.8867421718854097
7,0.08090829851429755,0.9172469928552048,0.7252784340195747,24.44458246231079,0.20937715705259322,6.506528631092935,2.9e-05,0.9352112676056338,0.9295774647887324,0.8840579710144928,0.5181159420289855,0.8690807799442897,0.766016713091922,0.9207195203197868,0.8920719520319786
8,0.07657096275677851,0.9242289952066565,0.7388345145685679,24.433494091033936,0.20937715705259322,7.006165049073113,3.2999999999999996e-05,0.9323943661971831,0.9380281690140845,0.8840579710144928,0.5307971014492754,0.8635097493036211,0.8217270194986073,0.9260493004663558,0.893404397068621
9,0.07380035202316836,0.9277742606493624,0.7244346945663179,24.510871410369873,0.20937715705259322,7.481361777044156,3.7e-05,0.9323943661971831,0.9154929577464789,0.8931159420289855,0.5362318840579711,0.8662952646239555,0.7409470752089137,0.9340439706862091,0.9207195203197868
10,0.07108924916167203,0.9331102469024147,0.749746878164023,24.501014947891235,0.20937715705259322,7.936097959661947,4.0999999999999994e-05,0.9323943661971831,0.9295774647887324,0.9003623188405797,0.5615942028985508,0.8690807799442897,0.8022284122562674,0.944037308461026,0.9220519653564291
